Collector,Year,Season,Site,SVL,Total_length,Sex
Chris,2014,Fall,D,34,70,female
Chris,2014,Fall,A,44,81,male
Chris,2014,Fall,A,41,69,male
Chris,2014,Fall,A,43,84,male
Chris,2014,Fall,A,38,78,male
Chris,2014,Fall,A,45,90,male
Chris,2014,Fall,A,40,69,male
Chris,2014,Fall,A,40,81,male
Chris,2014,Fall,A,37,71,male
Chris,2014,Fall,A,43,81,male
Chris,2014,Fall,A,39,66,male
Chris,2014,Fall,A,39,67,male
Chris,2014,Fall,A,36,74,male
Chris,2014,Fall,A,37,71,male
Chris,2014,Fall,A,41,71,male
Chris,2014,Fall,A,42,84,male
Chris,2014,Fall,A,37,80,male
Chris,2014,Fall,A,38,77,male
Chris,2014,Fall,B,37,69,male
Chris,2014,Fall,B,35,65,male
Chris,2014,Fall,B,41,88,male
Chris,2014,Fall,B,32,75,male
Chris,2014,Fall,B,43,87,male
Chris,2014,Fall,B,42,84,male
Chris,2014,Fall,B,44,89,male
Chris,2014,Fall,B,39,75,male
Chris,2014,Fall,B,37,77,male
Chris,2014,Fall,B,40,78,male
Chris,2014,Fall,B,38,73,male
Chris,2014,Fall,B,35,70,male
Chris,2014,Fall,B,37,82,male
Chris,2014,Fall,B,37,79,male
Chris,2014,Fall,B,36,65,male
Chris,2014,Fall,B,37,75,male
Chris,2014,Fall,B,37,77,male
Chris,2014,Fall,B,41,82,male
Chris,2014,Fall,B,34,71,male
Chris,2014,Fall,B,40,71,male
Chris,2014,Fall,B,38,78,male
Chris,2014,Fall,B,40,75,male
Chris,2014,Fall,B,36,75,male
Chris,2014,Fall,B,43,79,male
Chris,2014,Fall,B,36,77,male
Chris,2014,Fall,B,37,82,male
Chris,2014,Fall,B,38,76,male
Chris,2014,Fall,C,41,80,male
Chris,2014,Fall,C,42,79,male
Meg,2014,Fall,C,42,86,male
Meg,2014,Fall,C,33,68,male
Meg,2014,Fall,C,42,82,male
Meg,2014,Fall,C,39,86,male
Meg,2014,Fall,C,41,91,male
Meg,2014,Fall,C,36,90,male
Meg,2014,Fall,C,37,53,male
Meg,2014,Fall,C,31,78,male
Meg,2014,Fall,C,42,81,male
Meg,2014,Fall,C,37,76,male
Meg,2014,Fall,C,36,76,male
Meg,2014,Fall,C,33,72,male
Meg,2014,Fall,C,36,79,male
Meg,2014,Fall,C,36,78,male
Meg,2014,Fall,C,39,80,male
Meg,2014,Fall,C,36,76,male
Meg,2014,Fall,C,34,80,male
Meg,2014,Fall,C,37,52,male
Meg,2014,Fall,C,38,81,male
Meg,2014,Fall,C,41,85,male
Meg,2014,Fall,C,41,85,male
Meg,2014,Fall,C,43,85,male
Meg,2014,Fall,C,34,67,male
Meg,2014,Fall,C,36,83,male
Meg,2014,Fall,C,37,78,male
Meg,2014,Fall,C,37,76,male
Meg,2014,Fall,D,34,69,male
Meg,2014,Fall,D,37,67,male
Meg,2014,Fall,D,42,84,male
Meg,2014,Fall,D,36,72,male
Meg,2014,Fall,D,32,65,male
Meg,2014,Fall,D,37,76,male
Meg,2014,Fall,D,38,76,male
Meg,2014,Fall,D,38,74,male
Meg,2014,Fall,D,37,85,male
Meg,2014,Fall,D,38,80,male
Meg,2014,Fall,D,34,69,male
Meg,2014,Fall,A,33,66,unknown
Meg,2014,Fall,A,33,76,unknown
Meg,2014,Fall,A,42,68,unknown
Meg,2014,Fall,A,33,70,unknown
Meg,2014,Fall,A,43,86,unknown
Meg,2014,Fall,A,41,83,unknown
Meg,2014,Fall,A,31,60,unknown
Meg,2014,Fall,A,30,64,unknown
Meg,2014,Fall,A,36,62,unknown
Meg,2014,Fall,A,46,59,unknown
Meg,2014,Fall,A,30,73,unknown
Meg,2014,Fall,A,27,55,unknown
Meg,2014,Fall,A,34,74,unknown
Meg,2014,Fall,A,31,71,unknown
Meg,2014,Fall,A,29,50,unknown
Meg,2014,Fall,A,36,73,unknown
Meg,2014,Fall,A,26,50,unknown
Meg,2014,Fall,A,26,52,unknown
Meg,2014,Fall,A,24,45,unknown
Meg,2014,Fall,A,25,56,unknown
Meg,2014,Fall,A,26,51,unknown
Meg,2014,Fall,A,25,43,unknown
Meg,2014,Fall,A,27,50,unknown
Meg,2014,Fall,A,40,77,unknown
Meg,2014,Fall,A,23,51,unknown
Mike,2014,Fall,A,24,39,unknown
Mike,2014,Fall,A,23,46,unknown
Mike,2014,Fall,A,26,41,unknown
Mike,2014,Fall,A,43,89,unknown
Mike,2014,Fall,A,40,85,unknown
Mike,2014,Fall,B,44,97,unknown
Mike,2014,Fall,B,33,67,unknown
Mike,2014,Fall,B,25,47,unknown
Mike,2014,Fall,B,36,74,unknown
Mike,2014,Fall,B,33,71,unknown
Mike,2014,Fall,B,39,72,unknown
Mike,2014,Fall,B,33,63,unknown
Mike,2014,Fall,B,35,77,unknown
Mike,2014,Fall,B,35,76,unknown
Mike,2014,Fall,B,38,76,unknown
Mike,2014,Fall,B,30,66,unknown
Mike,2014,Fall,B,31,61,unknown
Mike,2014,Fall,B,24,43,unknown
Mike,2014,Fall,B,28,55,unknown
Mike,2014,Fall,B,37,75,unknown
Mike,2014,Fall,B,27,47,unknown
Mike,2014,Fall,C,28,53,unknown
Mike,2014,Fall,C,31,54,unknown
Mike,2014,Fall,C,32,72,unknown
Mike,2014,Fall,C,25,41,unknown
Mike,2014,Fall,C,28,45,unknown
Mike,2014,Fall,C,28,49,unknown
Mike,2014,Fall,C,39,75,unknown
Mike,2014,Fall,C,26,48,unknown
Mike,2014,Fall,C,29,62,unknown
Mike,2014,Fall,C,26,55,unknown
Mike,2014,Fall,C,31,60,unknown
Mike,2014,Fall,C,30,61,unknown
Mike,2014,Fall,C,28,54,unknown
Mike,2014,Fall,C,40,79,unknown
Mike,2014,Fall,C,26,52,unknown
Mike,2014,Fall,C,35,76,unknown
Mike,2014,Fall,C,28,56,unknown
Mike,2014,Fall,C,29,57,unknown
Mike,2014,Fall,C,22,44,unknown
Mike,2014,Fall,C,13,22,unknown
Mike,2014,Fall,C,27,59,unknown
Mike,2014,Fall,C,26,51,unknown
Mike,2014,Fall,C,25,45,unknown
Mike,2014,Fall,C,27,56,unknown
Mike,2014,Fall,C,30,65,unknown
Mike,2014,Fall,C,28,64,unknown
Mike,2014,Fall,C,39,90,unknown
Mike,2014,Fall,C,23,42,unknown
Mike,2014,Fall,C,27,61,unknown
Mike,2014,Fall,C,29,61,unknown
Mike,2014,Fall,C,30,51,unknown
Mike,2014,Fall,C,27,57,unknown
Mike,2014,Fall,C,32,80,unknown
Mike,2014,Fall,C,27,58,unknown
Mike,2014,Fall,C,35,82,unknown
Mike,2014,Fall,C,35,74,unknown
Mike,2014,Fall,C,29,64,unknown
Mike,2014,Fall,C,27,60,unknown
Mike,2014,Fall,C,27,57,unknown
Mike,2014,Fall,C,38,75,unknown
Mike,2014,Fall,C,28,62,unknown
Mike,2014,Fall,C,29,54,unknown
Mike,2014,Fall,C,22,48,unknown
Mike,2014,Fall,C,32,75,unknown
Mike,2014,Fall,C,28,56,unknown
Mike,2014,Fall,C,32,54,unknown
Mike,2014,Fall,C,27,40,unknown
Mike,2014,Fall,C,34,75,unknown
Mike,2014,Fall,C,29,43,unknown
Mike,2014,Fall,C,32,55,unknown
Mike,2014,Fall,D,36,67,unknown
Mike,2014,Fall,D,28,55,unknown
Mike,2014,Fall,D,36,58,unknown
Mike,2014,Fall,D,26,51,unknown
Mike,2014,Fall,D,27,53,unknown
Mike,2014,Fall,D,25,46,unknown
Mike,2014,Fall,D,33,55,unknown
Mike,2014,Fall,D,30,56,unknown
Mike,2014,Fall,D,33,66,unknown
Mike,2014,Fall,D,25,48,unknown
Mike,2014,Fall,D,26,49,unknown
Mike,2014,Fall,D,26,42,unknown
Mike,2014,Fall,D,29,59,unknown
Mike,2014,Fall,D,34,65,unknown
Mike,2014,Fall,D,27,39,unknown
Mike,2014,Fall,D,26,55,unknown
Mike,2014,Fall,D,34,62,unknown
Mike,2014,Fall,D,33,54,unknown
Mike,2014,Fall,D,26,54,unknown
Mike,2014,Fall,D,25,48,unknown
Mike,2014,Fall,D,31,54,unknown
Mike,2014,Fall,D,35,72,unknown
Mike,2014,Fall,D,33,79,unknown
Mike,2014,Fall,D,35,68,unknown
Mike,2014,Fall,D,36,74,unknown
Mike,2014,Fall,D,35,76,unknown
Mike,2014,Fall,D,36,82,unknown
Mike,2014,Fall,D,17,30,unknown
Mike,2014,Fall,D,24,45,unknown
Mike,2014,Fall,D,27,60,unknown
Mike,2014,Fall,D,33,62,unknown
Mike,2014,Fall,D,39,71,unknown
