presence,area,dry,water,shade,bird ,fish ,other ponds ,land,macro,HSI
0,10,3,3,50,1,4,2,4,90,0.77
0,90,1,3,80,1,3,3,4,8,0.71
0,2050,1,3,60,2,2,2,4,25,0.75
1,130,1,3,35,1,3,2,3,30,0.73
0,60,1,3,50,1,3,6,4,5,0.75
0,60,2,3,90,2,3,0,2,10,0.54
0,60,3,2,60,1,1,6,1,5,0.51
0,200,1,2,90,1,2,0,3,0,0.51
0,220,1,2,28,1,3,1,4,75,0.77
0,175,1,2,50,1,3,3,3,5,0.7
0,50,1,3,75,2,2,1,1,0,0.47
1,40,1,3,10,1,3,5,2,50,0.71
1,452,1,3,15,2,3,6,2,30,0.76
0,70,1,3,40,1,2,7,1,5,0.62
0,30,3,3,100,1,2,5,1,0,0.45
1,350,1,3,10,2,3,0,4,75,0.77
0,250,1,2,0,1,3,6,3,5,0.72
0,1600,1,3,5,3,2,3,4,25,0.7
0,50,1,3,10,1,4,4,1,80,0.74
1,450,1,3,20,1,3,4,4,40,0.86
0,40,3,2,0,2,3,4,4,25,0.65
0,15,3,2,0,1,3,2,4,20,0.66
0,10,3,3,100,1,2,9,4,0,0.57
0,2250,1,3,0,2,1,3,4,5,0.71
0,1200,1,3,0,1,1,3,4,12,0.76
0,320,1,3,15,2,3,3,4,20,0.77
0,300,1,1,5,2,4,0,4,0,0.63
0,350,1,3,0,2,3,5,4,10,0.78
0,60,1,3,0,2,2,4,4,70,0.74
0,975,1,3,0,1,3,4,4,80,0.89
0,90,1,3,25,1,1,5,4,65,0.75
0,450,1,1,0,1,4,4,4,5,0.79
1,50,3,3,50,1,2,3,4,5,0.66
1,400,2,2,5,2,2,5,3,50,0.74
1,30,3,3,50,1,2,3,4,10,0.66
0,50,3,2,50,1,4,4,3,10,0.67
1,1600,3,2,50,2,4,8,3,15,0.74
1,200,3,2,40,2,4,6,3,70,0.74
1,700,4,1,80,1,4,8,3,10,0.67
1,525,2,2,60,1,4,3,3,70,0.87
0,205,4,2,90,1,4,5,3,10,0.61
1,105,3,3,40,1,4,4,3,5,0.71
0,75,2,2,70,1,4,6,3,10,0.72
0,1800,2,4,30,2,1,2,4,35,0.77
1,200,3,4,30,1,4,2,3,40,0.78
0,36,3,2,90,1,1,4,3,20,0.52
0,5,4,4,80,1,4,6,4,0,0.69
1,120,1,3,0,2,1,4,3,60,0.67
0,32,4,1,0,1,4,2,1,0,0.5
1,750,1,2,0,2,2,1,3,40,0.7
0,615,3,2,0,2,1,2,1,5,0.54
0,20,4,1,0,1,4,2,1,0,0.5
1,60,4,2,0,1,4,1,3,10,0.6
1,200,1,3,5,3,2,8,3,60,0.68
1,60,2,3,10,1,4,8,4,30,0.83
0,25,3,2,100,3,4,4,3,5,0.48
1,40,3,3,50,2,4,2,2,60,0.67
1,50,3,3,60,1,4,2,3,40,0.71
1,600,2,1,5,2,1,8,2,70,0.69
1,60,2,3,30,1,4,2,3,30,0.76
0,72,2,1,60,1,4,2,3,5,0.67
1,40,2,3,70,1,2,4,2,20,0.64
1,375,3,3,0,1,4,3,3,60,0.81
1,75,3,2,5,1,4,6,3,5,0.68
0,50,4,1,100,1,4,3,3,0,0.5
1,150,3,3,0,1,4,8,3,60,0.79
1,16,2,3,0,1,4,3,3,5,0.74
0,5000,1,4,90,3,1,4,4,10,0.62
0,20,4,2,100,2,4,2,2,0,0.45
0,250,3,3,0,3,2,2,3,70,0.62
1,24,2,4,60,2,2,2,3,30,0.69
1,120,2,3,5,1,4,4,2,40,0.76
1,30,2,3,20,1,3,2,1,10,0.64
0,56,3,1,0,1,4,2,1,0,0.54
1,160,2,3,0,1,4,3,3,20,0.78
0,20,4,1,100,1,4,1,3,0,0.47
0,250,1,1,10,3,1,2,1,5,0.43
0,21,3,2,100,1,4,2,2,0,0.53
1,96,2,3,80,1,4,2,2,40,0.7
1,200,3,4,40,2,3,5,3,45,0.74
1,250,2,2,30,1,4,2,3,80,0.81
1,140,2,3,70,1,4,8,4,60,0.85
1,900,1,1,40,2,2,9,2,20,0.66
1,200,2,1,40,1,4,7,3,40,0.76
1,144,2,1,0,1,4,5,2,70,0.74
1,150,2,2,0,1,4,7,1,10,0.69
1,60,2,2,0,1,4,7,1,30,0.69
1,3000,1,2,15,3,1,2,3,40,0.6
0,200,2,2,5,2,3,2,3,20,0.68
1,40,2,3,15,1,3,2,3,20,0.71
1,60,3,3,0,1,4,1,3,40,0.7
0,120,4,1,100,1,4,1,1,0,0.42
0,120,4,1,5,2,4,1,2,5,0.5
0,30,4,2,10,1,4,1,1,0,0.52
0,100,1,2,0,2,4,6,3,0,0.69
1,75,2,3,40,2,3,1,3,70,0.72
1,600,2,4,10,2,3,6,3,60,0.87
1,91,3,3,0,2,3,3,3,70,0.7
1,100,3,3,0,2,3,2,3,20,0.64
1,100,2,3,0,2,2,7,3,80,0.74
0,900,1,4,5,3,1,8,4,10,0.72
1,35,2,1,80,2,3,1,2,20,0.52
0,204,3,1,0,2,3,2,4,40,0.65
0,24,3,2,50,2,2,2,3,0,0.54
0,96,3,2,70,2,2,1,3,10,0.53
0,750,1,1,80,3,1,4,3,10,0.53
0,40,3,3,70,2,3,1,2,5,0.54
0,50,4,4,100,1,4,2,2,10,0.56
1,100,2,3,0,1,4,2,2,5,0.71
0,4900,1,1,15,3,2,2,3,10,0.57
1,1000,1,2,20,3,2,3,3,5,0.62
0,30,4,1,100,2,4,1,2,0,0.4
1,60,2,3,0,2,3,4,3,10,0.69
1,48,3,2,90,2,4,3,4,5,0.6
1,196,3,2,0,2,4,3,4,5,0.69
0,100,4,1,50,1,4,3,4,0,0.63
0,100,3,3,80,1,4,4,3,0,0.67
1,96,2,3,60,1,3,2,3,30,0.74
0,40,3,1,0,1,4,2,2,0,0.57
0,180,3,1,80,2,4,2,3,5,0.57
0,180,3,1,80,3,3,2,2,15,0.45
0,36,3,1,20,2,3,1,1,0,0.46
0,200,4,4,15,1,4,2,2,0,0.67
0,5,4,1,0,1,4,3,1,0,0.51
0,28,3,3,5,1,4,1,2,0,0.62
1,75,3,3,20,2,2,2,3,40,0.62
0,64,2,2,50,3,4,4,3,15,0.63
0,32,3,4,0,2,2,2,3,0,0.61
0,900,1,2,20,3,2,3,3,0,0.62
0,1000,1,2,50,3,1,2,3,10,0.58
0,75,3,3,60,1,3,4,2,0,0.63
0,210,3,2,20,2,1,2,3,25,0.57
1,96,2,2,30,2,2,6,2,30,0.63
1,160,2,3,0,1,4,6,3,60,0.84
0,40,2,2,30,1,4,2,2,20,0.68
1,50,2,3,0,1,4,6,2,5,0.72
0,6,3,2,60,1,4,2,3,0,0.64
1,16,2,2,0,1,4,6,3,5,0.72
0,120,2,3,0,1,4,3,3,10,0.76
